Impressionism,Soft brushstrokes vibrant colors and emphasis on light and movement in the style of Monet or Renoir
Cubism,Geometric shapes multiple perspectives and fragmented forms in the manner of Picasso or Braque
Surrealism,Dreamlike imagery unexpected juxtapositions and symbolic elements inspired by Dalí or Magritte
Pop,Bold colors comic book outlines and repetitive patterns in the style of Andy Warhol or Roy Lichtenstein
Abstract Expressionism,Emotional intensity gestural brushstrokes and non-representational forms like Pollock or Rothko
Vaporwave,Retro digital elements glitch effects neon colors and 80s-90s nostalgia
Cyberpunk,Neon lighting futuristic technology urban dystopia and high-tech low-life aesthetics
Pixel,Limited color palette visible pixels and retro video game style
Glitch,Digital artifacts distortion effects and corrupted visual elements
Low Poly,Geometric triangular faces flat colors and minimal details resembling early 3D graphics
Film Noir,High contrast black and white dramatic shadows and moody atmospheric lighting
Vintage Photo,Sepia tones film grain vignetting and aged appearance
Lomography,Vibrant colors high saturation vignetting and light leaks
Double Exposure,Blending of two images often with nature or cityscape overlays
Infrared,White foliage surreal color shifts and infrared film look
Film Still,Cinematic composition dramatic lighting and movie-like color grading
Horror,Eerie lighting desaturated colors and unsettling elements
Fantasy,Magical elements mythical creatures and ethereal lighting
Sci Fi,Futuristic technology alien environments and advanced civilizations
Western,Dusty landscapes warm colors and rugged frontier aesthetics
Art Deco,Bold geometric patterns luxurious materials and symmetrical designs
Minimalism,Clean lines neutral colors and absence of clutter
Brutalism,Raw concrete surfaces imposing structures and geometric forms
Mid Century Modern,Clean lines organic shapes and 1950s-60s functional design
Gothic,Pointed arches ribbed vaults and dramatic gothic architecture
8 Bit,Pixelated graphics and limited color palette reminiscent of early video games
Cel Shaded,Bold outlines flat colors and comic-like appearance
Watercolor Game,Soft edges translucent colors and hand-painted look inspired by watercolor games
Minecraft,Blocky voxel elements and simplified textures
Retro Arcade,Bright colors simple shapes and nostalgic arcade game style
Steampunk,Victorian-era aesthetics brass machinery and steam-powered technology
Cottagecore,Rustic elements wildflowers pastoral scenes and cozy countryside vibes
Synthwave,Neon grids sunset colors and retro-futuristic elements
Dieselpunk,1920s-1950s technology industrial elements and alternate history
Solarpunk,Sustainable technology lush greenery solar power and optimistic future
Ukiyoe,Traditional Japanese woodblock print style with flat colors and bold outlines
Chinese Ink Painting,Flowing brushstrokes minimal colors and emphasis on essence over detail
Indian Miniature,Intricate details vibrant colors and stylized figures
African Tribal,Bold patterns earth tones and symbolic geometric designs
Mexican Folk,Bright colors patterns and cultural symbols inspired by Alebrijes
Origami,Folded paper look with visible folds and geometric shapes
Stained Glass,Bold black outlines and vibrant translucent color sections
Mosaic,Small colored tiles or fragments forming the overall picture
Embroidery,Visible threads stitches and textile texture
Chalk Drawing,White and colored chalk strokes on blackboard with dusty texture
Van Gogh Style,Swirling brushstrokes intense colors and emotional expression
Frida Kahlo Style,Bold colors symbolic elements and surreal self-portraiture
Banksy Style,Stencil street style with political or social commentary
Wes Anderson Style,Symmetrical composition pastel colors and whimsical elements
Studio Ghibli Style,Whimsical characters detailed backgrounds and magical natural elements
Long Exposure,Motion blur on moving elements and sharp stationary objects
